◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
15,111750.96,1752.48,21275.63,83281.516,9.048,2382.66,1195.77,
16,112258.007,1745.76,21275.63,83794.568,6.116,2333.01,1177.24,
17,112843.792,1754.63,21275.63,84435.733,5.041,2370.31,1194.52,
18,112937.015,1759.1,40149.114,65691.524,35.814,2382.62,1214.4,
19,111492.143,1760.63,40149.114,64268.329,57.19,2397.57,1209.95,
20,109403.113,1690.11,40149.114,62225.019,91.755,2359.67,1112.29,
21,106682.138,1560.2,40149.114,59701.302,170.387,2357.69,1004.1,
22,102624.505,1428.16,9843.867,85768.285,5.872,2362.93,942.58,
23,98879.132,1233.72,9843.867,81968.793,5.864,2270.6,852.94,
0,96977.687,1120.72,9843.867,80143.472,6.434,1610.44,779.73,
1,95454.743,1065.18,9843.867,78607.228,19.085,1523.48,721.62,
2,94919.493,1052.41,9843.867,78073.293,47.016,1490.18,713.54,
3,95352.365,1064.17,9843.867,78526.126,71.227,1479.68,712.76,
4,96440.971,1083.35,9843.867,79625.377,74.407,1482.36,726.81,
5,98606.715,1233.32,9843.867,81792.595,54.208,1687.86,823.18,
6,102469.694,1404.77,25476.897,69998.379,26.659,2023.44,929.69,
7,106763.636,1634.12,25476.897,74201.889,10.973,2378.31,1102.22,
