◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
17,104627.262,1683.71,18186.01,79658.42,6.631,2303.92,1239.35,
18,106043.932,1697.34,34260.753,65059.555,27.014,2335.09,1238.88,
19,105968.331,1695.46,34260.753,65008.644,23.168,2326.4,1242.06,
20,104706.663,1691.43,34260.753,63752.115,46.942,2319.16,1240.53,
21,102184.928,1592.76,34260.753,61268.064,79.075,2351.49,1124.15,
22,98603.901,1428.36,8507.576,83360.7,12.471,2350.57,948.31,
23,95495.355,1173.78,8507.576,80173.915,13.298,1860.75,524.89,
0,94634.943,1118.8,8507.576,79271.984,13.194,1629.32,781.47,
1,93061.584,1077.62,8507.576,77687.25,14.18,1535.75,779.62,
2,91976.209,1031.33,8507.576,76606.57,22.495,1434.71,761.95,
3,91792.489,1011.34,8507.576,76442.401,39.8,1419.47,693.62,
4,92347.183,1021.83,8507.576,77011.985,53.464,1428.03,698.47,
5,93151.766,1038.84,8507.576,77791.398,22.928,1430.03,758.52,
6,94368.077,1078.86,21741.374,65783.839,18.919,1487.25,736.18,
7,96600.158,1124.96,21741.374,68001.655,7.746,1638.63,809.13,
8,99624.512,1427.72,18186.01,74615.071,43.278,2329.9,967.71,
9,102503.465,1511.92,18186.01,77503.187,19.456,2328.92,1018.98,
10,103627.288,1534.98,18186.01,78651.519,8.138,2317.86,1069.62,
11,103488.86,1530.85,18186.01,78514.91,9.572,2329.86,1069.54,
12,103108.757,1515.77,18186.01,78126.381,10.552,2327.97,1059.67,
13,102694.673,1491.87,18186.01,77724.005,13.938,2348.07,1011.44,
14,102477.394,1498.68,18186.01,77494.673,11.348,2340.73,1007.35,
15,102540.529,1500.31,18186.01,77552.77,7.048,2314.97,979.26,
16,103439.269,1530.56,18186.01,78484.388,6.653,2268.81,981.66,
17,104504.35,1536.93,18186.01,79582.67,5.312,2273.46,995.14,
18,106285.926,1558.84,34260.753,65347.242,21.981,2306.5,1055.33,
19,106334.018,1561.35,34260.753,65412.137,19.391,2298.07,1042.18,
20,105004.621,1558.85,34260.753,64081.586,42.443,2292.87,1047.07,
21,102559.497,1511.32,34260.753,61665.924,73.753,2356.71,1045.88,
22,99252.701,1289.08,8507.576,84004.115,11.034,2365.61,626.32,
23,96591.566,1187.79,8507.576,81292.253,10.938,2386.24,435.11,
0,94964.556,1106.07,8507.576,79683.342,12.338,1937.79,392.35,
1,93443.235,1008.66,8507.576,78149.581,16.657,1607.38,579.53,
2,92673.097,952.81,8507.576,77387.45,23.053,1433.2,607.75,
3,93230.734,989.95,8507.576,77962.715,40.345,1358.19,669.06,
4,94838.942,1032.57,8507.576,79593.794,51.227,1416.4,740.61,
5,97193.339,1090.94,8507.576,81841.837,20.652,1910.0,692.86,
6,100589.292,1192.5,21741.374,71941.356,14.616,1945.14,499.66,
7,104730.316,1502.11,21741.374,76053.062,10.655,2340.25,983.39,
8,108171.379,1545.0,18186.01,83081.472,11.987,2362.42,1047.74,
9,110102.292,1566.31,18186.01,85001.448,20.797,2381.9,851.98,
10,110345.056,1569.0,18186.01,85225.703,26.101,2367.26,836.69,
11,109702.524,1544.83,18186.01,84548.602,26.637,2246.01,836.14,
12,108900.856,1525.38,18186.01,83711.453,26.588,2234.13,826.09,
13,108741.595,1528.9,18186.01,83556.805,33.287,2234.62,843.74,
14,108218.722,1530.89,18186.01,83019.497,28.089,2281.83,1049.51,
15,107821.819,1530.31,18186.01,82588.901,20.095,2284.93,1045.28,
16,107986.315,1534.81,18186.01,82775.352,15.454,2341.6,1042.93,
17,108399.649,1531.94,18186.01,83269.118,11.353,2227.78,1028.85,
18,109624.43,1544.46,34260.753,68483.152,27.512,2298.09,1037.58,
19,109394.578,1562.95,34260.753,68264.682,18.995,2379.07,1062.52,
20,107663.513,1523.87,34260.753,66546.729,38.677,2370.04,1048.49,
21,105222.943,1472.3,34260.753,64198.495,72.613,2357.49,993.23,
22,101388.983,1218.12,8507.576,86012.743,10.898,2261.14,844.45,
23,98424.064,1133.95,8507.576,83026.174,7.323,2205.53,757.23,
0,96237.855,1009.52,8507.576,80823.259,18.629,1641.86,635.94,
1,94726.835,960.36,8507.576,79294.256,23.585,1532.32,599.36,
2,93918.051,933.58,8507.576,78482.548,28.172,1437.18,658.41,
3,94456.956,947.28,8507.576,79053.361,46.128,1431.99,655.49,
4,96127.24,1000.25,8507.576,80744.027,59.377,1432.49,675.02,
5,98387.125,1092.39,8507.576,82963.696,28.503,1501.31,785.68,
6,101723.764,1220.79,21741.374,73056.476,20.514,1760.05,857.04,
7,105472.451,1457.69,21741.374,76769.597,15.429,2206.92,956.84,
8,108941.402,1525.84,18186.01,83873.98,29.391,2269.63,1018.37,
9,110791.828,1560.91,18186.01,85758.718,42.72,2455.08,1058.52,
10,110661.712,1571.59,18186.01,85578.687,42.637,2424.89,842.92,
11,109844.48,1550.4,18186.01,84759.936,45.142,2432.79,844.15,
12,108896.687,1539.63,18186.01,83820.135,48.678,2437.29,829.43,
13,108745.86,1541.41,18186.01,83662.409,39.559,2435.95,825.09,
14,108223.692,1534.86,18186.01,83124.9,28.028,2431.62,819.6,
15,107855.743,1518.06,18186.01,82730.754,9.326,2197.03,848.31,
16,108159.85,1532.86,18186.01,83024.54,6.866,2258.08,1016.51,
17,108538.018,1537.82,18186.01,83403.82,9.254,2349.94,988.48,
18,109662.777,1544.82,34260.753,68488.525,24.53,2387.05,991.73,
19,109430.663,1550.99,34260.753,68281.86,24.049,2407.57,1042.83,
20,107774.031,1526.49,34260.753,66629.359,38.77,2370.19,1023.68,
21,105590.881,1483.38,34260.753,64556.162,72.831,2353.47,979.11,
22,101937.554,1223.32,8507.576,86567.098,19.117,2198.23,825.93,
23,99188.517,1098.74,8507.576,83816.372,18.799,1785.41,756.63,
0,96594.915,1035.55,8507.576,81329.41,34.439,1617.45,659.78,
1,95073.469,999.45,8507.576,79790.255,44.455,1584.41,599.5,
2,94346.93,946.64,8507.576,79058.477,52.311,1573.16,528.43,
3,94812.219,972.0,8507.576,79551.295,66.575,1570.97,551.64,
4,96393.973,1015.94,8507.576,81154.827,69.648,1464.32,668.69,
5,98765.41,1079.89,8507.576,83507.257,48.343,1483.0,716.1,
6,102153.009,1206.37,21741.374,73640.119,39.645,1656.72,848.67,
7,106206.519,1474.91,21741.374,77613.801,30.668,2142.41,1011.33,
8,109722.491,1566.22,18186.01,84750.328,61.747,2348.94,869.37,
9,111517.735,1615.43,18186.01,86540.214,61.112,2395.42,793.98,
10,111529.259,1613.75,18186.01,86520.491,56.662,2399.75,788.77,
11,110665.357,1599.87,18186.01,85630.457,50.167,2379.72,840.0,
12,109699.625,1584.9,18186.01,84631.993,55.284,2348.58,843.33,
13,109487.483,1578.36,18186.01,84438.216,56.512,2355.17,0.0,
14,108961.439,1565.46,18186.01,83930.62,52.476,2345.92,0.0,
15,108582.098,1542.18,18186.01,83544.306,51.922,2255.48,0.0,
16,108716.516,1544.93,18186.01,83688.314,54.043,2295.13,0.0,
17,108985.867,1553.28,18186.01,83977.239,55.195,2302.57,998.74,
18,110255.002,1593.51,34260.753,69219.505,75.611,2340.71,859.02,
19,110098.316,1605.86,34260.753,69043.627,46.679,2340.84,821.32,
20,108466.595,1588.35,34260.753,67381.064,63.076,2324.43,1062.63,
21,106018.266,1501.17,34260.753,65210.715,97.265,2344.63,1023.77,
22,102346.676,1290.83,8507.576,87236.818,7.378,2186.74,933.42,
23,99447.301,1126.37,8507.576,84331.749,6.448,1697.86,797.5,
0,97127.015,1150.02,8507.576,81898.338,36.493,1612.29,844.77,
1,95316.781,1078.81,8507.576,80101.951,36.684,1573.59,700.98,
2,94112.649,1042.64,8507.576,78885.002,37.06,1505.36,626.39,
3,93972.066,1031.56,8507.576,78752.459,44.79,1468.04,606.45,
4,94739.709,1107.6,8507.576,79558.965,48.779,1540.0,738.08,
5,95797.304,1134.65,8507.576,80618.865,36.199,1550.41,754.56,
6,97334.394,1191.25,21741.374,68950.546,36.795,1635.06,815.18,
7,99993.401,1428.01,21741.374,71636.277,38.389,1892.1,919.34,
8,103188.93,1608.79,18186.01,78424.239,54.491,2271.53,1043.36,
9,105592.208,1690.8,18186.01,80787.228,27.358,2254.83,1165.18,
10,106459.387,1707.33,18186.01,81616.117,27.29,2355.16,1231.76,
11,106264.967,1706.04,18186.01,81417.553,26.35,2363.22,1227.28,
12,105756.935,1695.32,18186.01,80897.112,27.16,2368.25,1214.27,
13,105338.314,1689.93,18186.01,80483.633,28.474,2374.54,1211.28,
14,105005.825,1686.52,18186.01,80156.635,30.537,2368.82,1214.1,
15,104910.525,1639.15,18186.01,80098.026,28.714,2273.01,1142.0,
16,105473.569,1666.33,18186.01,80680.252,27.761,2223.51,1099.7,
17,106133.238,1685.59,18186.01,81374.201,26.755,2216.22,1138.81,
18,107526.997,1709.38,34260.753,66757.587,53.785,2350.2,1197.92,
19,107394.84,1699.32,34260.753,66638.439,64.752,2361.52,1210.44,
20,105999.262,1688.36,34260.753,65229.891,85.447,2374.42,1201.93,
21,103753.298,1622.23,34260.753,63005.938,110.613,2390.66,976.0,
22,100240.066,1350.26,8507.576,85145.723,37.358,2253.98,948.78,
23,97975.956,1233.81,8507.576,82833.862,36.753,2250.35,831.98,
0,95642.369,1138.82,8507.576,80521.343,37.468,1925.96,791.37,
1,93896.621,1058.23,8507.576,78754.955,38.048,1669.33,703.17,
2,92683.194,1014.14,8507.576,77539.731,43.808,1530.57,636.9,
3,92638.532,1023.43,8507.576,77510.554,53.817,1466.25,642.84,
4,93280.495,1066.19,8507.576,78185.121,64.601,1447.83,703.84,
5,94049.468,1101.34,8507.576,78952.777,46.981,1501.47,725.08,
6,95237.323,1147.07,21741.374,66926.229,48.69,1596.59,761.51,
7,97385.756,1238.31,21741.374,69064.821,48.947,1728.21,867.29,
8,100483.495,1485.3,18186.01,75732.091,68.513,2092.82,944.3,
9,103024.333,1573.48,18186.01,78237.947,30.302,2215.95,1013.82,
10,103976.377,1609.01,18186.01,79126.619,29.726,2238.41,1083.41,
11,103841.113,1584.48,18186.01,78967.516,29.966,2247.88,1070.59,
12,103432.506,1545.89,18186.01,78544.914,30.824,2248.0,1043.49,
13,103170.045,1543.15,18186.01,78282.342,30.219,2249.63,1047.18,
14,103040.116,1564.49,18186.01,78172.043,37.271,2242.28,1039.71,
15,103207.449,1575.34,18186.01,78363.475,35.062,2235.54,1043.36,
16,103812.715,1605.46,18186.01,79039.407,32.3,2197.09,1043.53,
17,104806.937,1620.57,18186.01,80087.755,27.218,2202.09,1039.56,
18,106193.981,1637.97,34260.753,65469.997,50.892,2224.41,1074.55,
19,106494.379,1640.23,34260.753,65782.614,63.13,2223.26,1104.65,
20,105317.52,1650.96,34260.753,64588.839,84.055,2350.79,1180.34,
21,103070.89,1598.03,34260.753,62367.808,113.192,2394.97,976.0,
22,99442.883,1385.78,8507.576,84377.646,37.388,2244.53,1004.54,
23,96992.364,1276.2,8507.576,81877.318,36.329,2227.77,900.42,
0,94906.797,1088.71,8507.576,79789.917,37.299,1935.81,746.98,
1,93241.991,1066.75,8507.576,78099.382,41.061,1895.59,729.61,
2,92520.959,1063.28,8507.576,77358.057,46.824,2206.99,699.47,
3,92916.764,1064.85,8507.576,77758.69,54.295,1589.88,711.24,
4,94522.061,1153.49,8507.576,79380.718,54.681,1614.55,781.51,
5,96729.306,1250.89,8507.576,81504.602,44.662,1771.39,873.98,
6,100140.218,1524.46,21741.374,71637.919,34.696,2386.21,947.17,
7,104369.168,1665.66,21741.374,75751.396,34.014,2503.07,1064.24,
8,107839.78,1699.69,18186.01,82772.558,22.722,2677.99,1120.23,
9,110026.582,1708.36,18186.01,84937.907,22.464,2774.21,1127.49,
10,110104.009,1713.8,18186.01,84952.691,22.188,2806.38,1116.84,
11,109529.859,1732.51,18186.01,84342.176,29.707,2779.12,1139.91,
12,108630.692,1714.9,18186.01,83401.652,31.333,2730.2,1138.05,
13,108580.199,1714.01,18186.01,83395.44,28.003,2738.99,1143.45,
