◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
8,91554.054,1659.28,16391.624,68789.71,242.239,2351.39,453.22,
9,93660.731,1699.29,16391.624,70780.0,140.699,2320.29,568.57,
10,93906.829,1696.86,16391.624,70979.412,126.751,2318.91,649.17,
11,93617.081,1691.58,16391.624,70686.327,130.202,2318.52,594.67,
12,93013.631,1710.59,16391.624,70130.245,148.774,2312.37,871.89,
13,93232.023,1716.4,16391.624,70376.693,149.487,2328.39,883.01,
14,92968.281,1706.57,16391.624,70139.821,164.774,2295.76,904.3,
15,92628.045,1697.33,16391.624,69808.969,151.164,2284.07,897.58,
16,92310.679,1727.44,16391.624,69464.853,153.775,2271.11,876.85,
17,92580.329,1730.01,16391.624,69775.272,146.365,2298.89,850.52,
18,93723.199,1741.65,16391.624,70917.416,55.778,2330.92,858.66,
19,93520.131,1736.1,30756.0,56386.514,86.986,2344.11,884.54,
20,91480.91,1685.22,30756.0,54381.618,115.738,2317.5,852.33,
21,88874.29,1565.93,30756.0,51989.614,185.746,2175.62,785.96,
22,84722.449,1360.19,30756.0,47987.03,397.91,2014.91,713.59,
23,81882.766,1102.1,7046.353,68432.84,21.203,1988.06,592.39,
0,79320.071,996.5,7046.353,65847.398,44.042,1975.24,543.71,
1,77902.446,948.96,7046.353,64502.05,116.548,1967.92,497.04,
2,77367.016,930.33,7046.353,64008.199,155.571,1965.34,478.28,
3,77649.857,933.53,7046.353,64315.278,173.039,1965.86,477.33,
4,79010.318,1003.55,7046.353,65673.184,162.594,1973.76,516.87,
5,81369.943,1106.12,7046.353,68004.339,120.643,1990.17,573.14,
6,84016.743,1365.31,19516.177,58191.647,145.696,2035.07,714.65,
7,87792.917,1541.87,19516.177,61755.484,62.178,2117.96,800.46,
8,91320.571,1622.33,16391.624,68543.556,193.669,2361.43,858.81,
9,93263.856,1656.32,16391.624,70411.768,130.715,2464.12,896.05,
10,93443.099,1651.0,16391.624,70518.125,104.351,2419.25,912.19,
11,92951.857,1641.87,16391.624,70017.385,106.201,2410.63,901.88,
12,92346.731,1631.0,16391.624,69416.605,113.922,2347.57,907.93,
13,92560.32,1644.83,16391.624,69619.974,115.849,2379.13,933.61,
14,92360.248,1664.48,16391.624,69434.698,122.399,2383.37,946.46,
15,92132.805,1666.63,16391.624,69204.143,99.821,2401.17,948.74,
16,91995.846,1661.08,16391.624,69084.577,92.341,2400.54,917.89,
17,92429.479,1667.72,16391.624,69556.422,69.857,2458.16,882.17,
18,93549.044,1683.15,16391.624,70731.338,44.756,2565.2,901.68,
19,93214.921,1658.96,30756.0,56083.302,90.401,2539.62,906.46,
20,91206.153,1614.46,30756.0,54072.312,114.145,2480.65,885.05,
21,88615.882,1553.58,30756.0,51696.605,183.181,2367.97,845.5,
22,84582.342,1361.66,30756.0,47863.593,388.103,2074.97,739.64,
23,81789.486,1093.1,7046.353,68342.481,23.056,1988.81,594.1,
0,79400.334,997.31,7046.353,65895.332,52.478,1650.01,539.25,
1,77978.494,949.93,7046.353,64525.994,113.37,1650.01,499.29,
2,77298.992,921.39,7046.353,63883.624,147.091,1650.01,471.06,
3,77625.695,932.87,7046.353,64238.645,166.79,1650.01,475.88,
4,78963.899,998.26,7046.353,65548.579,155.692,1650.01,513.41,
5,81420.988,1142.35,7046.353,67984.044,109.034,1650.01,583.85,
6,84006.027,1385.23,19516.177,58112.081,137.722,1650.02,703.05,
7,87787.393,1599.88,19516.177,61690.168,61.566,2067.36,779.55,
8,91292.163,1693.14,16391.624,68424.313,184.62,2305.31,794.26,
9,93166.79,1724.51,16391.624,70198.353,132.184,2337.67,823.32,
10,93255.619,1723.41,16391.624,70233.439,119.274,2299.1,848.51,
11,92854.595,1712.74,16391.624,69814.461,115.633,2232.87,848.79,
12,92254.099,1698.07,16391.624,69235.863,134.258,2182.7,845.48,
13,92428.197,1711.53,16391.624,69423.752,144.266,2236.16,861.1,
14,92098.09,1722.69,16391.624,69100.708,146.759,2260.5,861.01,
15,91688.409,1707.58,16391.624,68717.679,124.853,2264.9,856.14,
16,91521.733,1701.55,16391.624,68562.664,116.504,2269.84,824.98,
17,91893.34,1713.03,16391.624,68944.591,71.229,2267.7,840.09,
18,93351.831,1741.01,16391.624,70446.029,44.492,2270.11,878.0,
19,93125.179,1746.57,30756.0,55882.267,72.574,2289.34,878.0,
20,91285.622,1707.97,30756.0,54050.791,100.162,2198.01,878.0,
21,88746.824,1676.29,30756.0,51914.315,166.512,2157.64,878.0,
22,84852.802,1433.42,30756.0,48218.771,379.858,1806.02,878.0,
23,82085.967,1336.13,7046.353,68762.014,21.405,1650.01,849.15,
0,79792.41,1353.53,7046.353,66332.94,63.312,1650.01,878.0,
1,78261.196,1133.34,7046.353,64860.782,132.917,1650.01,740.89,
2,77534.251,1056.22,7046.353,64174.451,175.521,1650.01,677.31,
3,77369.709,1021.92,7046.353,64027.387,191.713,1650.01,651.34,
